"title","artist","playlist"
"I Will Wait","Mumford and Sons","current A-Z best of library"
"I Wish","Stevie Wonder","current A-Z best of library"
"I Would Die 4 U","Prince","current A-Z best of library"
"Icky Thump","The White Stripes","current A-Z best of library"
"I'd Run Away","The Jayhawks","current A-Z best of library"
"If I Can't Change Your Mind","Sugar","current A-Z best of library"
"If I Should Fall From Grace With God","The Pogues","current A-Z best of library"
"Iko Iko","Dr. John","current A-Z best of library"
"I'll Be You","The Replacements","current A-Z best of library"
"I'll Feel a Whole Lot Better","The Byrds","current A-Z best of library"
"I'll Take You There","The Staple Singers","current A-Z best of library"
"I'm Always in Love","Wilco","current A-Z best of library"
"I'm Straight","The Modern Lovers","current A-Z best of library"
"I'm The Man Who Loves You","Wilco","current A-Z best of library"
"I'm Waiting for the Man","The Velvet Underground","current A-Z best of library"
"I'm Writing A Novel","Father John Misty","current A-Z best of library"
"Imagine","John Lennon","current A-Z best of library"
"Imitosis","Andrew Bird","current A-Z best of library"
"Immigrant Song","Led Zeppelin","current A-Z best of library"
"Impossible Germany","Wilco","current A-Z best of library"
"In Bloom","Nirvana","current A-Z best of library"
"In My Head","Queens of the Stone Age","current A-Z best of library"
"In My Life","The Beatles","current A-Z best of library"
"In the Aeroplane Over the Sea","Neutral Milk Hotel","current A-Z best of library"
"In The Midnight Hour","Wilson Pickett","current A-Z best of library"
"Incinerate","Sonic Youth","current A-Z best of library"
"Inside Out","Spoon","current A-Z best of library"
"Insistor","Tapes 'n Tapes","current A-Z best of library"
"Instant Karma!","John Lennon","current A-Z best of library"
"Intergalactic","Beastie Boys","current A-Z best of library"
"Iron Man","Black Sabbath","current A-Z best of library"
"Is She Really Going Out With Him","Joe Jackson","current A-Z best of library"
"Is There A Ghost","Band of Horses","current A-Z best of library"
"Is This It","The Strokes","current A-Z best of library"
"Island in the Sun","Weezer","current A-Z best of library"
"Istanbul (Not Constantinople)","They Might Be Giants","current A-Z best of library"
"Itchycoo Park","Small Faces","current A-Z best of library"
"It's a Shame about Ray","The Lemonheads","current A-Z best of library"
"It's Oh So Quiet","Bjork","current A-Z best of library"
"It's Only Rock 'n Roll","The Rolling Stones","current A-Z best of library"
"It's the End of the World As We Know It And I Feel Fine","R.E.M.","current A-Z best of library"
"It's Too Late","Bob Mould","current A-Z best of library"
"It's Tricky","Run DMC","current A-Z best of library"
"I've Been Everywhere","Johnny Cash","current A-Z best of library"
"Jackson","Johnny Cash","current A-Z best of library"
"Jailhouse Rock","Elvis Presley","current A-Z best of library"
"Jane Says","Jane's Addiction","current A-Z best of library"
"January Wedding","The Avett Brothers","current A-Z best of library"
"Jeepster","T. Rex","current A-Z best of library"
"Jeremy","Pearl Jam","current A-Z best of library"
"Jezebel","Plague Vendor","current A-Z best of library"
"Johnny B. Goode","Chuck Berry","current A-Z best of library"
"Jolene","Dolly Parton","current A-Z best of library"
"Jumpin' Jack Flash","The Rolling Stones","current A-Z best of library"
"Jungle Boogie","Kool and The Gang","current A-Z best of library"
"Just a Friend","Biz Markie","current A-Z best of library"
"Just Ain't Gonna Work Out","Mayer Hawthorne","current A-Z best of library"
"Just Can't Get Enough","Depeche Mode","current A-Z best of library"
"Just Like a Woman","Nina Simone","current A-Z best of library"
"Just Like Heaven","The Cure","current A-Z best of library"
"Just Like Honey","The Jesus and Mary Chain","current A-Z best of library"
"Just My Imagination","The Temptations","current A-Z best of library"
"Just One Of The Guys","Jenny Lewis","current A-Z best of library"
"Karma Police","Radiohead","current A-Z best of library"
"Kashmir","Led Zeppelin","current A-Z best of library"
"Keep The Car Running","Arcade Fire","current A-Z best of library"
"Kick Drum Heart","The Avett Brothers","current A-Z best of library"
"Kids","MGMT","current A-Z best of library"
"Killer Queen","Queen","current A-Z best of library"
"Kim and Jessie","M83","current A-Z best of library"
"King Kunta","Kendrick Lamar","current A-Z best of library"
"King of the World","Weezer","current A-Z best of library"
"Kismet Kill","Haley Bonar","current A-Z best of library"
"Kiss","Prince","current A-Z best of library"
"Kiss Me on The Bus","The Replacements","current A-Z best of library"
"Kiss Them For Me","Siouxsie and The Banshees","current A-Z best of library"
"Kissing The Lipless","The Shins","current A-Z best of library"
"Knock Me Down","Red Hot Chili Peppers","current A-Z best of library"
"Kool Thing","Sonic Youth","current A-Z best of library"
"Lady You Shot Me","Har Mar Superstar","current A-Z best of library"
"Lampshades on Fire","Modest Mouse","current A-Z best of library"
"Last Goodbye","Jeff Buckley","current A-Z best of library"
"Last Nite","The Strokes","current A-Z best of library"
"Lay Your Cards Out","Polica","current A-Z best of library"
"Lazy Eye","Silversun Pickups","current A-Z best of library"
"Leave A Trace","CHVRCHES","current A-Z best of library"
"Left Hand Free","Alt-J","current A-Z best of library"
"Left of The Dial","The Replacements","current A-Z best of library"
"Let 'Em Say","Lizzo and Caroline Smith","current A-Z best of library"
"Let It Happen","Tame Impala","current A-Z best of library"
"Let The Good Times Roll","JD McPherson","current A-Z best of library"
"Let's Call the Whole Thing Off","Ella Fitzgerald and Louis Armstrong","current A-Z best of library"
"Let's Dance","David Bowie","current A-Z best of library"
"Let's Get It On","Marvin Gaye","current A-Z best of library"
"Let's Go","Matt and Kim","current A-Z best of library"
"Let's Go Crazy","Prince","current A-Z best of library"
"Let's Go Get Stoned","Ray Charles","current A-Z best of library"
"Let's Go To Bed","The Cure","current A-Z best of library"
"Let's Spend the Night Together","The Rolling Stones","current A-Z best of library"
"Let's Stay Together","Al Green","current A-Z best of library"
"Life Itself","Glass Animals","current A-Z best of library"
"Life On Mars?","David Bowie","current A-Z best of library"
"Lightning Bolt","Jake Bugg","current A-Z best of library"
"Lights On","Big Grams","current A-Z best of library"
"Lights Out","Santigold","current A-Z best of library"
"Like A Rolling Stone","Bob Dylan","current A-Z best of library"
"Like Dylan In The Movies","Belle and Sebastian","current A-Z best of library"
"Lime Habit","Polica","current A-Z best of library"
"Lips Like Sugar","Echo and the Bunnymen","current A-Z best of library"
"Lisztomania","Phoenix","current A-Z best of library"
"Lithium","Nirvana","current A-Z best of library"
"Little Latin Lupe Lu","The Chancellors","current A-Z best of library"
"Little Lion Man","Mumford and Sons","current A-Z best of library"
"Little Mercy","Doomtree","current A-Z best of library"
"Little Numbers","BOY","current A-Z best of library"
"Little Red Corvette","Prince","current A-Z best of library"
"Little Talks","Of Monsters And Men","current A-Z best of library"
"Little Wing","Jimi Hendrix","current A-Z best of library"
"Living For The City","Stevie Wonder","current A-Z best of library"
"Lloyd I'm Ready to Be Heartbroken","Camera Obscura","current A-Z best of library"
"London Calling","The Clash","current A-Z best of library"
"Lonely Boy","The Black Keys","current A-Z best of library"
"Lonely Girl","Weezer","current A-Z best of library"
"Lonesome","Dr. Dog","current A-Z best of library"
"Long Tall Sally","Little Richard","current A-Z best of library"
"Long Way Down","Robert DeLong","current A-Z best of library"
"Look It Here","Nathaniel Rateliff and the Night Sweats","current A-Z best of library"
"Los Angeles","Frank Black","current A-Z best of library"
"Lose Yourself To Dance feat. Pharrell Williams","Daft Punk","current A-Z best of library"
"Loser","Beck","current A-Z best of library"
"Losing My Edge","LCD Soundsystem","current A-Z best of library"
"Losing My Religion","R.E.M.","current A-Z best of library"
"Lost Highway","Hank Williams","current A-Z best of library"
"Lost in My Mind","The Head and the Heart","current A-Z best of library"
"Lost In The Supermarket","The Clash","current A-Z best of library"
"Loud Places feat. Romy","Jamie xx","current A-Z best of library"
"Love","John Lennon","current A-Z best of library"
"Love Hurts","Gram Parsons","current A-Z best of library"
"Love in a Trashcan","The Raveonettes","current A-Z best of library"
"Love In Vain","The Rolling Stones","current A-Z best of library"
"Love Is The Drug","Roxy Music","current A-Z best of library"
"Love Is The Law","The Suburbs","current A-Z best of library"
"Love My Way","The Psychedelic Furs","current A-Z best of library"
"Love Rollercoaster","Ohio Players","current A-Z best of library"
"Love Spreads","The Stone Roses","current A-Z best of library"
"Love The Way You Walk Away","Blitzen Trapper","current A-Z best of library"
"Love Train","The O'Jays","current A-Z best of library"
"Love Will Tear Us Apart","Joy Division","current A-Z best of library"
"Lovesong","The Cure","current A-Z best of library"
"Low","Cracker","current A-Z best of library"
"Low Rider","War","current A-Z best of library"
"Lucy In The Sky With Diamonds","The Beatles","current A-Z best of library"
"Lust For Life","Iggy Pop","current A-Z best of library"
